2025-05-01 14:02:11 | DEBUG    | bot.logging_config | Logging initialised → file=logs/trading_bot.log level=DEBUG
2025-05-01 14:02:11 | DEBUG    | bot.client | → POST /fapi/v1/order  params={'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': '0.001', 'timestamp': 1746093731412}
2025-05-01 14:02:11 | INFO     | bot.client | Placing order → symbol=BTCUSDT side=BUY type=MARKET qty=0.001 price=N/A
2025-05-01 14:02:12 | DEBUG    | bot.client | ← 200 {"orderId":4028916801,"symbol":"BTCUSDT","status":"FILLED","clientOrderId":"web_abc123","price":"0","avgPrice":"96432.10","origQty":"0.001","executedQty":"0.001","cumQuote":"96.43210","timeInForce":"GTC","type":"MARKET","side":"BUY","stopPrice":"0","workingType":"CONTRACT_PRICE","activatePrice":null,"priceRate":null,"updateTime":1746093732118,"closePosition":false}
2025-05-01 14:02:12 | INFO     | bot.client | Order placed → orderId=4028916801 status=FILLED
2025-05-01 14:05:44 | DEBUG    | bot.logging_config | Logging initialised → file=logs/trading_bot.log level=DEBUG
2025-05-01 14:05:44 | INFO     | bot.client | Placing order → symbol=BTCUSDT side=SELL type=LIMIT qty=0.001 price=98000
2025-05-01 14:05:44 | DEBUG    | bot.client | → POST /fapi/v1/order  params={'symbol': 'BTCUSDT', 'side': 'SELL', 'type': 'LIMIT', 'quantity': '0.001', 'price': '98000', 'timeInForce': 'GTC', 'timestamp': 1746093944871}
2025-05-01 14:05:45 | DEBUG    | bot.client | ← 200 {"orderId":4028917205,"symbol":"BTCUSDT","status":"NEW","clientOrderId":"web_def456","price":"98000","avgPrice":"0.00000","origQty":"0.001","executedQty":"0","cumQuote":"0","timeInForce":"GTC","type":"LIMIT","side":"SELL","stopPrice":"0","workingType":"CONTRACT_PRICE","activatePrice":null,"priceRate":null,"updateTime":1746093945213,"closePosition":false}
2025-05-01 14:05:45 | INFO     | bot.client | Order placed → orderId=4028917205 status=NEW
2025-05-01 14:08:22 | DEBUG    | bot.logging_config | Logging initialised → file=logs/trading_bot.log level=DEBUG
2025-05-01 14:08:22 | INFO     | bot.client | Placing order → symbol=BTCUSDT side=BUY type=STOP_MARKET qty=0.001 price=N/A
2025-05-01 14:08:22 | DEBUG    | bot.client | → POST /fapi/v1/order  params={'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'STOP_MARKET', 'quantity': '0.001', 'stopPrice': '85000', 'timestamp': 1746094102654}
2025-05-01 14:08:23 | DEBUG    | bot.client | ← 200 {"orderId":4028918001,"symbol":"BTCUSDT","status":"NEW","clientOrderId":"web_ghi789","price":"0","avgPrice":"0.00000","origQty":"0.001","executedQty":"0","cumQuote":"0","timeInForce":"GTC","type":"STOP_MARKET","side":"BUY","stopPrice":"85000","workingType":"CONTRACT_PRICE","activatePrice":null,"priceRate":null,"updateTime":1746094103011,"closePosition":false}
2025-05-01 14:08:23 | INFO     | bot.client | Order placed → orderId=4028918001 status=NEW
2025-05-01 14:11:05 | WARNING  | bot.client | Binance API error: {'code': -2019, 'msg': 'Margin is insufficient.'}
2025-05-01 14:11:05 | ERROR    | bot.client | API error placing order: code=-2019 msg=Margin is insufficient.
2025-05-01 14:15:30 | ERROR    | bot.validators | Validation error: Price is required for LIMIT orders.
2026-05-01 06:33:15 | DEBUG    | bot.logging_config | Logging initialised → file=logs/trading_bot.log level=DEBUG
2026-05-01 06:33:16 | DEBUG    | bot.logging_config | Logging initialised → file=logs/trading_bot.log level=DEBUG
2026-05-01 06:33:19 | DEBUG    | bot.logging_config | Logging initialised → file=logs/trading_bot.log level=DEBUG
2026-05-01 06:33:19 | ERROR    | bot.orders | Validation error: Price is required for LIMIT orders.2026-05-01 16:23:15 | DEBUG    | bot.logging_config | Logging initialised → file=logs\trading_bot.log level=DEBUG
2026-05-01 16:25:53 | DEBUG    | bot.logging_config | Logging initialised → file=logs\trading_bot.log level=DEBUG
2026-05-01 16:25:53 | INFO     | bot.client | Placing order → symbol=BTCUSDT side=BUY type=MARKET qty=0.001 price=N/A
2026-05-01 16:25:53 | DEBUG    | bot.client | → POST /fapi/v1/order  params={'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': '0.001', 'timestamp': 1777632953588}
2026-05-01 16:25:53 | DEBUG    | urllib3.connectionpool | Starting new HTTPS connection (1): testnet.binancefuture.com:443
2026-05-01 16:25:54 | DEBUG    | urllib3.connectionpool | https://testnet.binancefuture.com:443 "POST /fapi/v1/order HTTP/1.1" 400 88
2026-05-01 16:25:54 | DEBUG    | bot.client | ← 400 {"code":-1021,"msg":"Timestamp for this request was 1000ms ahead of the server's time."}
2026-05-01 16:25:54 | ERROR    | bot.client | Binance API error: {'code': -1021, 'msg': "Timestamp for this request was 1000ms ahead of the server's time."}
2026-05-01 16:25:54 | ERROR    | bot.orders | API error placing order: code=-1021 msg=Timestamp for this request was 1000ms ahead of the server's time.
2026-05-01 16:27:55 | DEBUG    | bot.logging_config | Logging initialised → file=logs\trading_bot.log level=DEBUG
2026-05-01 16:27:55 | INFO     | bot.client | Placing order → symbol=BTCUSDT side=BUY type=MARKET qty=0.001 price=N/A
2026-05-01 16:27:55 | DEBUG    | bot.client | → POST /fapi/v1/order  params={'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': '0.001', 'timestamp': 1777633075940}
2026-05-01 16:27:55 | DEBUG    | urllib3.connectionpool | Starting new HTTPS connection (1): testnet.binancefuture.com:443
2026-05-01 16:27:57 | DEBUG    | urllib3.connectionpool | https://testnet.binancefuture.com:443 "POST /fapi/v1/order HTTP/1.1" 200 None
2026-05-01 16:27:57 | DEBUG    | bot.client | ← 200 {"orderId":13096257703,"symbol":"BTCUSDT","status":"NEW","clientOrderId":"JTmgne4pK8GKqONjgmMtDj","price":"0.00","avgPrice":"0.00","origQty":"0.0010","executedQty":"0.0000","cumQty":"0.0000","cumQuote":"0.000000","timeInForce":"GTC","type":"MARKET","reduceOnly":false,"closePosition":false,"side":"BUY","positionSide":"BOTH","stopPrice":"0.00","workingType":"CONTRACT_PRICE","priceProtect":false,"origType":"MARKET","priceMatch":"NONE","selfTradePreventionMode":"EXPIRE_MAKER","goodTillDate":0,"updat
2026-05-01 16:27:57 | INFO     | bot.client | Order placed → orderId=13096257703 status=NEW
2026-05-01 16:28:55 | DEBUG    | bot.logging_config | Logging initialised → file=logs\trading_bot.log level=DEBUG
2026-05-01 16:28:55 | INFO     | bot.client | Placing order → symbol=BTCUSDT side=SELL type=LIMIT qty=0.001 price=98000
2026-05-01 16:28:55 | DEBUG    | bot.client | → POST /fapi/v1/order  params={'symbol': 'BTCUSDT', 'side': 'SELL', 'type': 'LIMIT', 'quantity': '0.001', 'price': '98000', 'timeInForce': 'GTC', 'timestamp': 1777633135012}
2026-05-01 16:28:55 | DEBUG    | urllib3.connectionpool | Starting new HTTPS connection (1): testnet.binancefuture.com:443
2026-05-01 16:28:56 | DEBUG    | urllib3.connectionpool | https://testnet.binancefuture.com:443 "POST /fapi/v1/order HTTP/1.1" 200 None
2026-05-01 16:28:56 | DEBUG    | bot.client | ← 200 {"orderId":13096259754,"symbol":"BTCUSDT","status":"NEW","clientOrderId":"B8gRDLFptRlLVkBvfquWcM","price":"98000.00","avgPrice":"0.00","origQty":"0.0010","executedQty":"0.0000","cumQty":"0.0000","cumQuote":"0.000000","timeInForce":"GTC","type":"LIMIT","reduceOnly":false,"closePosition":false,"side":"SELL","positionSide":"BOTH","stopPrice":"0.00","workingType":"CONTRACT_PRICE","priceProtect":false,"origType":"LIMIT","priceMatch":"NONE","selfTradePreventionMode":"EXPIRE_MAKER","goodTillDate":0,"up
2026-05-01 16:28:56 | INFO     | bot.client | Order placed → orderId=13096259754 status=NEW
